Country,Score,GDP,Continent
Peru,5.71500015259,1.03522527218,South-America
Mauritius,5.62900018692,1.18939554691,Africa
Cyprus,5.62099981308,1.35593807697,Europe
Estonia,5.61100006104,1.32087934017,Europe
Belarus,5.5689997673,1.15655755997,Europe
Libya,5.52500009537,1.10180306435,Africa
Turkey,5.5,1.19827437401,Europe
Paraguay,5.49300003052,0.932537317276,South-America
"Hong Kong S.A.R., China",5.47200012207,1.55167484283,Asia
Philippines,5.42999982834,0.857699215412,Asia
Serbia,5.39499998093,1.06931757927,Europe
Jordan,5.33599996567,0.991012394428,Asia
Hungary,5.32399988174,1.28601193428,Europe
Jamaica,5.3109998703,0.925579309464,North-America
Croatia,5.29300022125,1.22255623341,Europe
Kosovo,5.27899980545,0.951484382153,Europe
China,5.27299976349,1.08116579056,Asia
Pakistan,5.26900005341,0.726883530617,Asia
Indonesia,5.26200008392,0.995538592339,Asia
Venezuela,5.25,1.12843120098,South-America
Montenegro,5.23699998856,1.12112903595,North-America
Morocco,5.23500013351,0.878114581108,Africa
Azerbaijan,5.23400020599,1.15360176563,Europe
Dominican Republic,5.23000001907,1.07937383652,North-America
Greece,5.22700023651,1.28948748112,Europe
Lebanon,5.22499990463,1.07498753071,Asia
Portugal,5.19500017166,1.31517529488,Europe
Bosnia and Herzegovina,5.18200016022,0.982409417629,Europe
Honduras,5.1810002327,0.730573117733,North-America
Macedonia,5.17500019073,1.06457793713,Europe
Somalia,5.15100002289,0.0226431842893,Africa
Vietnam,5.07399988174,0.788547575474,Asia
Nigeria,5.07399988174,0.783756256104,Africa
Tajikistan,5.04099988937,0.524713635445,Asia
Bhutan,5.0110001564,0.885416388512,Asia
Kyrgyzstan,5.00400018692,0.596220076084,Asia
Nepal,4.96199989319,0.47982019186,Asia
Mongolia,4.95499992371,1.02723586559,Asia
South Africa,4.82899999619,1.05469870567,Africa
Tunisia,4.80499982834,1.0072658062,Africa
Palestinian Territories,4.77500009537,0.716249227524,Asia
Egypt,4.73500013351,0.989701807499,Africa
Bulgaria,4.71400022507,1.16145908833,Europe
Sierra Leone,4.70900011063,0.368420928717,Africa
Cameroon,4.69500017166,0.564305365086,Africa
Iran,4.69199991226,1.15687310696,Asia
Albania,4.64400005341,0.996192753315,Europe
Bangladesh,4.60799980164,0.586682975292,Asia
Namibia,4.57399988174,0.964434325695,Africa
Kenya,4.5529999733,0.560479462147,Africa
Mozambique,4.55000019073,0.234305649996,Africa
Myanmar,4.54500007629,0.367110550404,Asia
Senegal,4.53499984741,0.479309022427,Africa
Zambia,4.51399993896,0.636406779289,Africa
Iraq,4.49700021744,1.10271048546,Asia
Gabon,4.46500015259,1.19821023941,Africa
Ethiopia,4.46000003815,0.339233845472,Africa
Sri Lanka,4.44000005722,1.00985014439,Asia
Armenia,4.37599992752,0.900596737862,Europe
India,4.31500005722,0.79222124815,Asia
Mauritania,4.29199981689,0.648457288742,Africa
Congo (Brazzaville),4.29099988937,0.808964252472,Africa
Georgia,4.28599977493,0.950612664223,Europe
Congo (Kinshasa),4.28000020981,0.0921023488045,Africa
Mali,4.19000005722,0.476180493832,Africa
Ivory Coast,4.17999982834,0.603048920631,Africa
Cambodia,4.16800022125,0.601765096188,Asia
Sudan,4.13899993896,0.659516692162,Africa
Ghana,4.11999988556,0.667224824429,Africa
Ukraine,4.09600019455,0.894651949406,Europe
Uganda,4.08099985123,0.381430715322,Africa
Burkina Faso,4.03200006485,0.350227713585,Africa
Niger,4.02799987793,0.161925330758,Africa
Malawi,3.97000002861,0.233442038298,Africa
Chad,3.93600010872,0.438012987375,Africa
Zimbabwe,3.875,0.375846534967,Africa
Lesotho,3.80800008774,0.52102124691,Africa
Angola,3.79500007629,0.858428180218,Africa
Afghanistan,3.79399991035,0.401477217674,Asia
Botswana,3.76600003242,1.12209415436,Africa
Benin,3.65700006485,0.431085407734,Africa
Madagascar,3.64400005341,0.305808693171,Africa
Haiti,3.60299992561,0.368610262871,Asia
Yemen,3.59299993515,0.591683447361,Asia
South Sudan,3.59100008011,0.397248625755,Africa
Liberia,3.53299999237,0.119041793048,Africa
Guinea,3.50699996948,0.244549930096,Africa
Togo,3.49499988556,0.305444717407,Africa
Rwanda,3.47099995613,0.36874589324,Africa
Syria,3.46199989319,0.777153134346,Asia
Tanzania,3.34899997711,0.511135876179,Africa
Burundi,2.90499997139,0.0916225686669,Africa
Central African Republic,2.6930000782,0.0,Africa
